OMB,OMB,NARA,NARA,OPM,OPM,Federal_Register,Federal_Register,ECFR,ECFR,regulations.gov,us_govt_manual,usa.gov,usaspending.gov,get.gov,get.gov,OMB-23-22,OMB-23-22,MySales,MySales,MySales,LDA,ACUS,ACUS,GAO,CISA
,,,,DEPARTMENT OF THE NAVY NV,NAVAL RESERVE FORCE NV72,,,,,National Women's Business Council,,Missile Defense Agency,,,,,,"U.S. Marine Corps, Quantico Dependent School System",17,52,U.S. International Development Cooperation Agency,,,U.S. Interior Department,
,,,,DEPARTMENT OF THE NAVY NV,NAVAL SPECIAL WARFARE COMMAND NV74,,,,,Natural Resources Conservation Service,,Mississippi River Commission,,,,,,Commander Naval Intallations,17,53,U.S. Marines,,,U.S. Justice Department,
,,,,DEPARTMENT OF THE NAVY NV,NAVAL EDUCATION AND TRAINING COMMAND NV76,,,,,Navy Department,,Multifamily Housing Office,,,,,,"Commander Military Sealift Command, Pacific",17,54,U.S. Marshals Service,,,U.S. Labor Department,
,,,,,,,,,,,,National Agricultural Library,,,,,,"Commander Military Sealift Command, Atlantic",17,55,U.S. Mint,,,U.S. Marine Corps,
,,,,,,,,,,Nuclear Energy Office,,National Agricultural Statistics Service,,,,,,"Commander Military Sealift Command, Europe",17,56,U.S. Natl Central Bureau - Intl Criminal Police Org,,,U.S. Navy Department,
,,,,,,,,,,,,National Cancer Institute,,,,,,"Commander Military Sealift Command, Central",17,57,U.S. Secret Service,,,U.S. State Department,
,,,,,,,,,,Occupational Safety and Health Administration,,National Cemetery Administration,,,,,,"Commander Military Sealift Command, Far East",17,58,U.S. Trade Representative (USTR),,,U.S. Transportation Department,
,,,,,,,,,,Office of Energy Policy and New Uses,,National Center for Complementary and Integrative Health,,,,,,Dept of Navy/Technology Services Organization Kansas City,17,59,USA Freedom Corps,,,U.S. Treasury Department,
,,,,,,,,,,Office of Federal Contract Compliance Programs,,National Constitution Center,,,,,,Dept of Navy/Marine Corps Enterprise Information Services,17,60,Veterans Employment & Training Service,,,U.S. Veterans Affairs,
,,,,,,,,,,Office of Federal Procurement Policy,,National Defense University,,,,,,Naval Medical Information System Support Activity,17,64,Vice President of the U.S.,,,,
,,,,,,,,,,Office of Federal Register,,National Flood Insurance Program,,,,,,"U.S. Marine Corps, Chief Information Officer",17,75,Violence Against Women Program,,,,
,,,,,,,,,,Office of Foreign Assets Control,,,,,,,,,,,Voice of America,,,,
,,,,,,,,,,Office of Management and Budget,,National Geospatial-Intelligence Agency,,,,,,Department of the Army,21,0,White House Office,,,,
,,,,,,,,,,Office of National Drug Control Policy,,National Guard,,,,,,Communications Command,21,1,,,,,
,,,,,,,,,,Office of Natural Resources Revenue,,National Health Information Center,,,,,,"U.S. Army, Washington, DC",21,2,,,,,
,,,,,,,,,,Office of Procurement and Property Management,,"National Heart, Lung, and Blood Institute",,,,,,U.S. Army Information Systems Command,21,3,,,,,
,,,,,,,,,,Office of Science and Technology Policy,,National Highway Traffic Safety Administration,,,,,,Army Reserve,21,4,,,,United States Army Corps of Engineers,
,,,,,,,,,,Office of Surface Mining Reclamation and Enforcement,,,,,,,,U.S. Army Intelligence Agency,21,5,,,,United States Coast Guard,
,,,,,,,,,,,,National Institute for Occupational Safety and Health,,,,,,Surgeon General,21,6,,,,United States Customs and Border Protection,
,,,,,,,,,,Office of the Federal Coordinator for Alaska Natural Gas Transportation Projects,,National Institute of Allergy and Infectious Diseases,,,,,,U.S. Army Recreation Machine Program,21,7,,,,United States Fish and Wildlife Service,
,,,,,,,,,,Office of the Federal Register,,"National Institute of Arthritis, Musculoskeletal and Skin Diseases",,,,,,Corps of Engineers,21,8,,,,United States Immigration and Customs Enforcement,
,,,,,,,,,,Office of the Intellectual Property Enforcement Coordinator,,National Institute of Corrections,,,,,,Defense Telecommunication System - Washington (FTS Only),21,10,,,,United States Marine Corps,
,,,,,,,,,,Office of the National Cyber Director,,National Institute of Deafness and Other Communication Disorders,,,,,,Adjutant General,21,11,,,,United States Marines,
,,,,,,,,,,Office of the Special Trustee for American Indians,,National Institute of Dental and Craniofacial Research,,,,,,Army Intelligence and Security Command,21,12,,,,,
,,,,,,,,,,Office of Thrift Supervision,,National Institute of Diabetes and Digestive and Kidney Diseases,,,,,,Criminal Investigation Command,21,14,,,,,
,,,,,,,,,,Office of United States Trade Representative,,National Institute of Food and Agriculture,,,,,,U. S. Army Medical Command,21,16,,,,US Census,
,,,,,,,,,,Pacific Northwest Electric Power and Conservation Planning Council,,National Institute of Justice,,,,,,"Nat'l Guard Bur, AIS",21,18,,,,USA,
,,,,,,,,,,Parole Commission,,National Institute of Mental Health,,,,,,"Army Nat'l Guard, State Offices",21,19,,,,USAF,
,,,,,,,,,,Patent and Trademark Office,,National Institute of Neurological Disorders and Stroke,,,,,,The Judge Advocate General,21,20,,,,USAID,
,,,,,,,,,,,,National Institute of Standards and Technology,,,,,,Military Police Corps,21,22,,,,USCG,
,,,,,,,,,,,,National Institutes of Health,,,,,,Civilian Appellate Review Agency,21,24,,,,USDA,
,,,,,,,,,,Pipeline and Hazardous Materials Safety Administration,,National Intelligence University,,,,,,U. S. Army Installation Management Agency,21,25,,,,USGS,
,,,,,,,,,,,,National Interagency Fire Center,,,,,,Military Review Boards,21,26,,,,USMC,
,,,,,,,,,,Presidential Commission on the Supreme Court of the United States,,National Laboratories,,,,,,"Army Recruiting Command, Employee Parking Areas (PBS)",21,27,,,,USPS,
,,,,,,,,,,Presidential Documents,,National Library of Medicine,,,,,,"Army Distributed Learning System, Newport News, VA",21,28,,,,VA,
,,,,,,,,,,,,National Nuclear Security Administration,,,,,,Miscellaneous Department of the Army Activities,21,29,,,,Veterans Affairs,
,,,,,,,,,,Public Health Service,,National Ocean Service,,,,,,Community & Family Support Cntr NAF Contract Directorate,21,30,,,,Veterans Health Administration,
,,,,,,,,,,Reagan Udall Foundation,,National Oceanic and Atmospheric Administration,,,,,,"HQ, US Army Recruiting Command, Fort Knox, KY",21,31,,,,VHA,
,,,,,,,,,,Recovery Accountability and Transparency Board,,National Park Foundation,,,,,,Audit Agency,21,33,,,,View The Agency,
,,,,,,,,,,Regulatory Information Service Center,,National Park Service,,,,,,Military Traffic Management Command,21,35,,,,White House,
,,,,,,,,,,Research and Innovative Technology Administration,,National Passport Information Center,,,,,,Ballistic Missile Defense Communications Activity,21,36,,,,White House Office of Management and Budget,
,,,,,,,,,,Research and Special Programs Administration,,National Pesticide Information Center,,,,,,Training and Doctrine Command,21,37,,,,White House Office of National Drug Control Policy,
,,,,,,,,,,Risk Management Agency,,National Prevention Information Network,,,,,,"U.S. Army, Army Materiel Command",21,38,,,,,
,,,,,,,,,,Rural Business-Cooperative Service,,National Reconnaissance Office,,,,,,US Army Personnel Center,21,39,,,,,
,,,,,,,,,,Rural Housing Service,,National Security Agency,,,,,,Army Forces Command,21,40,,,,,
,,,,,,,,,,Rural Telephone Bank,,National Security Council,,,,,,Army Recruiting Command,21,41,,,,,
,,,,,,,,,,Rural Utilities Service,,National Technical Information Service,,,,,,Military Enlistment Processing Command,21,42,,,,,
,,,,,,,,,,Saint Lawrence Seaway Development Corporation,,National Telecommunications and Information Administration,,,,,,Alaska Command,21,43,,,,,
,,,,,,,,,,Secret Service,,National War College,,,,,,Army Communications Electronics Command,21,48,,,,,
,,,,,,,,,,Southeastern Power Administration,,National Weather Service,,,,,,US Army Test & Evaluation Command,21,49,,,,,
,,,,,,,,,,,,Natural Resources Conservation Service,,,,,,"Army Project Manager, Logistics Information Systems",21,51,,,,,
,,,,,,,,,,Southwestern Power Administration,,NOAA Fisheries,,,,,,"Department of Army, Army North",21,53,,,,,
,,,,,,,,,,,,,,,,,,US Army Security Assistance Command,21,54,,,,,
,,,,,,,,,,Special Inspector General for Iraq Reconstruction,,Northwest Power and Conservation Council,,,,,,Community Based Health Care Organization CBHCO,21,74,,,,,
,,,,,,,,,,,,,,,,,,State/Local DOD/DOJ Law Enforcement Support Program,21,90,,,,,
,,,,,,,,,,Substance Abuse and Mental Health Services Administration,,Oak Ridge National Laboratory,,,,,,GSA Advantage IMPAC,21,97,,,,,
,,,,,,,,,,,,Occupational Safety and Health Administration,,,,,,Resolution Trust Corporation,22,0,,,,,
,,,,,,,,,,Technology Administration,,"Office for Civil Rights, Department of Education",,,,,,United States Tax Court,23,0,,,,,
,,,,,,,,,,Transportation Security Administration,,"Office for Civil Rights, Department of Health and Human Services",,,,,,GSA Advantage IMPAC,23,97,,,,,
,,,,,,,,,,U. S. Geological Survey,,"Office of Career, Technical, and Adult Education",,,,,,Synthetic Fuels Corporation,32,0,,,,,
,,,,,,,,,,U.S. China Economic and Security Review Commission,,Office of Child Support Enforcement,,,,,,"commerce,ofc of computer",32,3,,,,,
,,,,,,,,,,U.S. Citizenship and Immigration Services,,Office of Community Planning and Development,,,,,,Regional Commissions,46,0,,,,,
,,,,,,,,,,U.S. Copyright Office,,Office of Congressional Workplace Rights,,,,,,,,,,,,,
,,,,,,,,,,U.S. Copyright Office,,Office of Cuba Broadcasting,,,,,,,,,,,,,
,,,,,,,,,,,,Office of Disability Employment Policy,,,,,,Washington Metropolitan Area Transit Authority,46,4,,,,,
,,,,,,,,,,Uniformed Services University of the Health Sciences,,Office of Elementary and Secondary Education,,,,,,Martin Luther King Jr. Federal Holiday Commission,46,17,,,,,
,,,,,,,,,,United States Courts,,Office of Environmental Management,,,,,,GSA Advantage IMPAC,46,97,,,,,
,,,,,,,,,,United States Courts,,Office of Fair Housing and Equal Opportunity,,,,,,Miscellaneous Commissions,48,0,,,,,
,,,,,,,,,,United States Mint,,Office of Fossil Energy,,,,,,National Commission to Prevent Infant Mortality,48,1,,,,,
,,,,,,,,,,United States Olympic and Paralympic Committee,,Office of Housing,,,,,,Commission for the Study of International Migration and Cooperative Economic Development,48,2,,,,,
,,,,,,,,,,United States Sentencing Commission,,Office of Immigrant and Employee Rights,,,,,,International Cultural and Trade Center Commission,48,3,,,,,
,,,,,,,,,,,,Office of Investor Education and Advocacy,,,,,,National Economic Commission,48,4,,,,,
,,,,,,,,,,Valles Caldera Trust,,Office of Justice Programs,,,,,,National Bankruptcy Review Commission,48,5,,,,,
,,,,,,,,,,Veterans Employment and Training Service,,Office of Juvenile Justice and Delinquency Prevention,,,,,,National Commission on Restructuring the IRS National Commission on Restructuring the IRS,48,6,,,,,
,,,,,,,,,,Wage and Hour Division,,Office of Lead Hazard Control and Healthy Homes,,,,,,National Alcohol Fuels Commission,48,7,,,,,
,,,,,,,,,,Western Area Power Administration,,Office of Local Defense Community Cooperation,,,,,,Commission on Railroad Retirement Reform,48,8,,,,,
,,,,,,,,,,Workers Compensation Programs Office,,Office of Management and Budget,,,,,,Commission on Agricultural Workers,48,9,,,,,
,,,,,,,,,,,,Office of Manufactured Housing Programs,,,,,,,48,10,,,,,
,,,,,,,,,,,,Office of Minority Health,,,,,,Presidential Commission on Catastrophic Nuclear Accidents,48,11,,,,,
,,,,,,,,,,,,Office of National Drug Control Policy,,,,,,Office of Nuclear Waste Negotiator,48,12,,,,,
,,,,,,,,,,,,Office of Natural Resources Revenue,,,,,,,,,,,,,
,,,,,,,,,,,,Office of Nuclear Energy,,,,,,National Commission on Severely Distressed Public Housing,48,14,,,,,
,,,,,,,,,,,,,,,,,,"National Commission on American Indian, Alaska Native, and Native Hawaiian Housing",48,15,,,,,
,,,,,,,,,,,,Office of Policy Development and Research,,,,,,National Commission on Judicial Discipline and Removal,48,16,,,,,
,,,,,,,,,,,,Office of Postsecondary Education,,,,,,Joint Federal-State Commission on Policies and Programs Affecting Alaska Natives,48,17,,,,,
,,,,,,,,,,,,Office of Refugee Resettlement,,,,,,United States Commission on Improving the Effectiveness of the United Nations,48,18,,,,,
,,,,,,,,,,,,Office of Science and Technology Policy,,,,,,National Commission on Manufactured Housing,48,19,,,,,
,,,,,,,,,,,,Office of Scientific and Technical Information,,,,,,Thomas Jefferson Commemoration Commission,48,20,,,,,
,,,,,,,,,,,,Office of Servicemember Affairs,,,,,,John F. Kennedy Assassination Records Review Board,48,21,,,,,
,,,,,,,,,,,,,,,,,,Commission Rail Road Retirement,48,22,,,,,
,,,,,,,,,,,,Office of Special Education and Rehabilitative Services,,,,,,National Commission on Student Financial Assistance,48,44,,,,,
,,,,,,,,,,,,"Office of Surface Mining, Reclamation and Enforcement",,,,,,Commission on the Ukraine Famine,48,45,,,,,
,,,,,,,,,,,,Office of the Assistant Secretary for Research and Technology,,,,,,,,,,,,,
,,,,,,,,,,,,Office of the Comptroller of the Currency,,,,,,Commission on Education of the Deaf,48,47,,,,,
,,,,,,,,,,,,,,,,,,Aviation Safety Commission,48,48,,,,,
,,,,,,,,,,,,Office of the Federal Register,,,,,,"National Commission on Financial Institution Reform, Recovery and Enforcement",48,49,,,,,
,,,,,,,,,,,,Office of the Pardon Attorney,,,,,,National Gambling Impact Study Commission,48,50,,,,,
,,,,,,,,,,,,Office on Violence Against Women,,,,,,National Commission on Cost of Higher Education,48,51,,,,,
,,,,,,,,,,,,,,,,,,National Commission on Advancement of Federal Law Enforcement,48,52,,,,,
,,,,,,,,,,,,,,,,,,Medicare Payment Advisory Commission,48,53,,,,,
,,,,,,,,,,,,Pentagon Force Protection Agency,,,,,,President's Advisory Commission on Holocaust Assets in the United States,48,54,,,,,
,,,,,,,,,,,,Pipeline and Hazardous Materials Safety Administration,,,,,,Commission on Ocean Policy,48,77,,,,,
,,,,,,,,,,,,Political Affairs,,,,,,Commission on On-Line Child Protection,48,78,,,,,
,,,,,,,,,,,,,,,,,,Commission on Affordable Housing and Health Care Facility Needs in the 21st Century,48,82,,,,,
,,,,,,,,,,,,Power Administrations,,,,,,Dwight D. Eisenhower Memorial Commission,48,83,,,,,
,,,,,,,,,,,,"President&#039;s Council on Fitness, Sports and Nutrition",,,,,,U.S. China Security Review Commission,48,92,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Pretrial Services Agency for the District of Columbia,,,,,,Trade Deficit Review Commission,48,96,,,,,
,,,,,,,,,,,,,,,,,,GSA Advantage IMPAC,48,97,,,,,
,,,,,,,,,,,,Public and Indian Housing,,,,,,Millennial Housing Commission,48,99,,,,,
,,,,,,,,,,,,Public Diplomacy and Public Affairs,,,,,,Permitting and Enforcement Federal Inspector for the Alaska Gas Pipeline,52,0,,,,,
,,,,,,,,,,,,Radio Free Asia,,,,,,GSA Advantage IMPAC,52,97,,,,,
,,,,,,,,,,,,Radio Free Europe and Radio Liberty,,,,,,Advisory Commission on Inter-governmental Relations,55,0,,,,,
,,,,,,,,,,,,,,,,,,GSA Advantage IMPAC,55,97,,,,,
,,,,,,,,,,,,Rehabilitation Services Administration,,,,,,GSA Advantage IMPAC,56,97,,,,,
,,,,,,,,,,,,,,,,,,Department of the Air Force,57,0,,,,,
,,,,,,,,,,,,Risk Management Agency,,,,,,"Headquarters, Air Staff (Not for Fleet Lease)",57,2,,,,,
,,,,,,,,,,,,Rural Business and Cooperative Programs,,,,,,Air Force District of Washington (Not for Fleet Lease),57,4,,,,,
,,,,,,,,,,,,Rural Development,,,,,,Air Force Space Command (Not for Fleet Lease),57,6,,,,,
,,,,,,,,,,,,Rural Housing Service,,,,,,"Accounting and Finance Center (Historical, Not for Fleet Lease)",57,8,,,,,
,,,,,,,,,,,,Rural Utilities Service,,,,,,"Air Force Communications Command (Historical, Not for Fleet Lease)",57,10,,,,,
,,,,,,,,,,,,Saint Lawrence Seaway Development Corporation,,,,,,Air Force Reserve Service (Not for Fleet Lease),57,12,,,,,
,,,,,,,,,,,,Science Office,,,,,,Electronic Security Command (Not for Fleet Lease),57,14,,,,,
,,,,,,,,,,,,Secret Service,,,,,,"Air Training Command, Recruiting Service (Historical, Not for Fleet Lease)",57,15,,,,,
,,,,,,,,,,,,,,,,,,"Air University (Historical, Not for Fleet Lease)",57,16,,,,,
,,,,,,,,,,,,Southeastern Power Administration,,,,,,"Air Force Logistics Command (Historical, Not for Fleet Lease)",57,17,,,,,
,,,,,,,,,,,,Southwestern Power Administration,,,,,,"Military Airlift Command (Historical, Not for Fleet Lease)",57,18,,,,,
,,,,,,,,,,,,,,,,,,"Strategic Air Command (Historical, Not for Fleet Lease)",57,19,,,,,
,,,,,,,,,,,,Stennis Center for Public Service,,,,,,"Air Force Systems Command (Historical, Not for Fleet Lease)",57,20,,,,,
,,,,,,,,,,,,Substance Abuse and Mental Health Services Administration,,,,,,Air Combat Command (Not for Fleet Lease),57,21,,,,,
,,,,,,,,,,,,Supreme Court of the United States,,,,,,Manpower Personnel Center (Not for Fleet Lease),57,22,,,,,
,,,,,,,,,,,,,,,,,,Appellate Review (Not for Fleet Lease),57,23,,,,,
,,,,,,,,,,,,Tax Court,,,,,,Regional Civil Engineer (Not for Fleet Lease),57,24,,,,,
,,,,,,,,,,,,Taxpayer Advocacy Panel,,,,,,Air Force Publication Distribution Center (Not for Fleet Lease),57,25,,,,,
,,,,,,,,,,,,Transportation Security Administration,,,,,,Office of Special Investigations (Not for Fleet Lease),57,26,,,,,
,,,,,,,,,,,,U.S. Africa Command,,,,,,"Alaskan Air Command (Historical, Not for Fleet Lease)",57,27,,,,,
,,,,,,,,,,,,U.S. Air Force,,,,,,Pacific Air Forces (Not for Fleet Lease),57,28,,,,,
,,,,,,,,,,,,U.S. Air Force Reserve Command,,,,,,U.S. Air Force Academy (Not for Fleet Lease),57,29,,,,,
,,,,,,,,,,,,,,,,,,U.S. Air Force Europe (Not for Fleet Lease),57,30,,,,,
,,,,,,,,,,,,U.S. Army,,,,,,Standard Systems Center (Not for Fleet Lease),57,31,,,,,
,,,,,,,,,,,,U.S. Army Corps of Engineers,,,,,,Air National Guard (Not for Fleet Lease),57,32,,,,,
,,,,,,,,,,,,U.S. Botanic Garden,,,,,,Air Force Reserve Officers Training Corps (ROTC) Program (Not for Fleet Lease),57,33,,,,,
,,,,,,,,,,,,U.S. Capitol Police,,,,,,Air Force Civil Air Patrol (Not for Fleet Lease),57,34,,,,,
,,,,,,,,,,,,U.S. Capitol Visitor Center,,,,,,"Air Force, Recruiting Squadron, Recruit Suppt Section Finance",57,35,,,,,
,,,,,,,,,,,,U.S. Census Bureau,,,,,,Air Combat Command (Incl. CENTCOM) (For Fleet Lease),57,61,,,,,
,,,,,,,,,,,,U.S. Central Command,,,,,,"Air Mobility Comd., Incl. Def. Courier Srv., (Fleet Lse)",57,62,,,,,
