title,description,keywords,domain,agency,bureau
,"Supporting Research & Development at NOAA We support critical research and development (R&D) to progress science, service, and stewardship across NOAA. The Office of Science Support enhances critical research efforts by ensuring scientists, partners, and funding offices have the resources they need to conduct excellent and efficient research that aligns with NOAA’s strategic objectives.  Accountability […]",,oss.research.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,outside.fw1-denv.erav.nwave.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,outside.fw1-ford.erav.nwave.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,Passive Acoustics | NOAA Fisheries,"Passive Acoustics, Passive Acoustic Monitoring, NOAA, NOAA Fisheries, Ocean, Marine Mammals, Cetaceans, Soundscape, Detection, Data, Visualization, Analysis",passiveacoustics.fisheries.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,passwords.gfdl.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,phi.nssl.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,pidvms.irc.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,pier.seagrant.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
NOAA Pacific Marine Environmental Laboratory (PMEL) |,,,pmel.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,polar.ncep.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,"Tides & Currents Home Page. CO-OPS provides the national infrastructure, science, and technical expertise to monitor, assess, and distribute tide, current, water level, and other coastal oceanographic products and services that support NOAA's mission of environmental stewardship and environmental assessment and prediction. CO-OPS provides operationally sound observations and monitoring capabilities coupled with operational Nowcast Forecast modeling.",,ports.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,Science & information for a climate-smart nation,,prod-01-asg-www-climate.woc.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,products.coastalscience.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,"OSD Special Projects Website, SPSRB",projects.osd.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
Home: NOAA Physical Sciences Laboratory,"US Department of Commerce, NOAA, Physical Sciences Laboratory","Physical Sciences Laboratory, NOAA, ESRL, weather, water, climate, extremes, research, modeling, observations",psl.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,pss.swpc.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,publications.gsl.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,purchaseknob.atdd.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,"Quantitative Observing System Assessment Program (QOSAP) Most recent OSSE publication on satellite tradeoff studies in the Bulletin of the American Meteorological Society About Us QOSAP conducts research to quantitatively evaluate and optimize the impact of current and proposed observations for Earth systems analysis and forecasting. QOSAP addresses NOAA’s mission requirements of science, service, and stewardship […]",,qosap.research.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,radar2pub.ncep.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,radar3pub.ncep.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,"The Rapid Refresh  is a high-frequency weather forecast (numerical weather prediction)  and data assimilation system, planned to replace the RUC in  NCEP operations by early 2010.  This page has real-time products from  experimental versions of the Rapid Refresh and information on it.","RUC, MAPS, aviation, weather,  data asssimilation, ceiling, visibility, Rapid Refresh,  severe weather, RAP,   numerical weather prediction, NWP, computer model,  MDCRS, ACARS, radiosonde, rawinsonde, precipitation, snow,Rapid Refresh, TAMDAR,thunderstorm,  WRF, wind, temperature, cloud, sounding, microphysics",rapidrefresh.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,ready2.arl.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,remote-east.nmfs.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,remote-west.nmfs.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,repository.library.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
Home | IncidentNews | NOAA,,,responselink.orr.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
response.restoration.noaa.gov | Our role is stewardship; our product is science.,,,response.restoration.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
Home - NOAA RESTORE Science Program,Building long-term capacity: Small business improves stock assessments for Gulf fisheriesLearn moreBridging the Gap: Workshop Promotes Co-Producing Actionable Science in FloridaLearn more‘Now is the Time’: Conserving Recreational Fisheries Takes a Habitat Focus Learn moreSupporting Dolphin RestorationCollaborative project investigates how multiple stressors impact Houston-area dolphinsLearn moreMicroplastics in Deep-Sea Stomachs Study finds plastic eaten by fish and ... Continue reading,,restoreactscienceprogram.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
NEXRAD Radar Operations Center - Home,"Welcome to the Radar Operations Center.  We are based in Norman, Oklahoma and support the National Weather Service radar sites throughout the United States","radar,operations,center,national,weather,service,WSR-88D",www.roc.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,The advisory board assists NOAA in maintaining a complete and accurate understanding of scientific issues critical to the agency’s missions.,,sab.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
NOAA Office of National Marine Sanctuaries,"From Washington state to the Gulf of America and from the Great Lakes to the Pacific Islands, the National Marine Sanctuary System protects 18 underwater parks spanning over 629,000 square miles of ocean and Great Lakes waters. By investing in innovative solutions, we strengthen these iconic places to address 21st-century challenges while supporting America's commerce and tourism. These unique locations inspire people to visit, value, and steward our nation’s iconic ocean and Great Lakes waters.","sanctuary, sanctuaries, oceans, marine life, whales, coral, kelp, underwater parks, coast, chart, navigation, NOAA, National Oceanic and Atmospheric Administration, sea, Pacific, Atlantic, Arctic, Antarctic, Southern Ocean, Indian Ocean, beach, oceans, seas, beaches, reef, coral, wave, waves, climate, surf, ship, ships, boat, boats",sanctuaries.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,satable.ncep.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,satellitemaps.nesdis.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,satepsanone.nesdis.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,"The NOAA Science Council is an internal body composed of senior scientific personnel from every line office in the agency who provide corporate oversight to ensure NOAA’s research and development activities are of the highest quality, meet near- to long-term mission requirements and societal needs, take advantage of emerging scientific and technological opportunities, shape a forward-looking […]",,sciencecouncil.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,science.ncbo.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,scsshore.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,sdat.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,sds.erma.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,seafoodinspection.nmfs.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,"Science Serving America’s Coasts For over 50 years, the National Sea Grant College Program has supported coastal, marine and Great Lakes communities through research, extension […]",,seagrant.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,seahorse3.nhc.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,sealocaleye.nmfs.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,search.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,seb.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,secatchshares.fisheries.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,servicedesk.gfdl.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,service.pmel.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,services.dat.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,services.swpc.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,,,services.swpc.woc.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
,SHiELD is a system for high-resolution modeling for Earth-to-local domains.,,shield.gfdl.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
ERROR: The request could not be satisfied,"The purpose of this website is to provide clear information about vector shoreline data generated by NOAA, as well as easy access to these data. It provides direct access to shoreline-specific information and background information on shoreline mapping in NOAA.","Ocean Service, ocean, coast, chart, navigation, NOAA, National Oceanic and Atmospheric Administration, sea, Pacific, Atlantic, beach, oceans, seas, beaches, climate, hurricane, typhoon, erosion, coastline, coast line, shoreline",shoreline.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration
